aid,firstname,lastname
1,Leonardo,DiCaprio
2,Andy,Griffith
3,Walter,Matthau
4,Orson,Welles
5,F.,Murray
6,James,(Jimmy)
7,Dom,DeLuise
8,John,Belushi
9,Tom,Hanks
10,James,Garner
11,Michael,J.
12,Christopher,Lloyd
13,Johnny,Depp
14,Aidan,Quinn
15,Julieanne,Moore
16,Arliss,Howard
17,Debra,Winger
18,Tim,Burton
19,John,Turturro
20,Bill,Pullman
21,Chris,Pine
22,John,Candy
23,Alan,Alda
24,Rhea,Perlman
25,Rip,Torn
26,Dan,Aykroyd
27,Nick,Nolte
28,M.,Emmet
29,Frank,McRae
30,John,Huston
31,Paul,Newman
32,Tony,Shaloub
33,George,Carlin
34,John,Ratzenberger
35,Elijah,Wood
36,Jeff,Goldblum
37,Catherine,Zeta-Jones
38,Richard,Gere
39,Juliette,Binochet
40,Don,Ameche
41,Wilford,Brimley
42,Hume,Cronyn
43,Brian,Dennehy
44,Jessica,Tandy
45,Nicholas,Cage
46,John,Malkovich
47,Ving,Rhames
48,Steve,Buscemi
49,Colm,Meaney
50,John,Cusack
51,Steve,Carrell
52,John,Mahoney
53,Dianne,Wiest
54,Pierce,Brosnan
55,Linda,Hamilton
56,Woody,Allen
57,Julie,Kavner
58,Michael,Caine
59,Angela,Dickinson
60,Dennis,Weaver
61,Julia,Roberts
62,Clive,Owen
63,Sean,Connery
64,Morgan,Freeman
65,Goldie,Hawn
66,William,H.
67,Chevy,Chase
68,Jean,Reno
69,Kevin,Costner
70,Minnie,Driver
71,Mel,Brooks
72,Cloris,Leachman
73,Madelaine,Kahn
74,Harvey,Kormann
75,Henry,Winkler
76,Sigourney,Weaver
77,Jon,Voight
78,Tim,Blake
79,Shia,LeBeouf
80,Jim,Carrey
81,Carol,Burnett
82,Vanessa,Redgrave
83,Charlotte,Church
84,Joss,Ackland
85,Kurt,Russell
86,Chris,Cooper
87,Amy,Smart
88,Robert,Downey
89,Jeff,Bridges
90,Gwyneth,Paltrow
91,Christian,Slater
92,Arnold,Schwarzenegger
93,Penelope,Ann
94,Jack,Black
95,Dustin,Hoffman
96,Jackie,Chan
97,Will,Ferrell
98,Burt,Lancaster
99,Ian,McKellen
100,Donald,Sutherland
101,Robert,Duvall
102,David,Hyde
103,Anothy,Hopkins
104,Brad,Pitt
105,John,Goodman
106,Billy,Crystal
107,Russell,Crowe
108,Hank,Azaria
109,Burt,Reynolds
110,Maury,Chaykin
111,Tim,Robbins
112,James,Mason
113,Leo,G.
114,Cary,Grant
115,Ava,Gardner
116,Ren�e,Zellweger
117,Roy,Scheider
118,Helen,Mirren
119,John,Lithgow
120,Christina,Ricci
121,Patricia,Clarkson
122,Steve,Martin
123,Kevin,Kline
124,John,Cleese
125,Holly,Hunter
126,George,Clooney
127,Charles,Durning
128,Ed,Harris
129,Cuba,Gooding
130,Whoopi,Goldberg
131,Jon,Lovitz
132,Rowan,Atkinson
133,Peter,O'Toole
134,John,Spencer
135,Danny,DeVito
136,Richard,Dawson
137,Maggie,Gyllenhaal
138,Michael,Douglas
139,Sean,Penn
140,Kelsey,Grammer
141,Robert,Donat
142,Forest,Whitaker
143,Kevin,Bacon
144,Brendan,Fraser
145,Andy,Garcia
146,Matt,Damon
147,Heath,Ledger
148,Sam,Neill
149,Alec,Baldwin
150,Matthew,Broderick
151,Marlon,Brando
152,Harrison,Ford
153,Tommy,Lee
154,John,Travolta
155,James,Cromwell
156,Timothy,Hutton
157,Denzel,Washington
158,Steve,McQueen
159,Charles,Bronson
160,James,Coburn
161,Bonnie,Hunt
162,Edward,Norton
163,Paul,Giamatti
164,Tom,Cruise
165,Nicole,Kidman
166,Pat,Morita
167,Art,Carney
168,Anthony,Quinn
169,Winona,Ryder
170,Ray,Romano
171,Rachel,Weisz
172,Mel,Gibson
173,Carl,Elwes
174,Mandy,Patinkin
175,Andre,the
176,Peter,Falk
177,Carol,Kaine
178,Sam,Shepard
179,Scott,Glenn
180,Dennis,Quaid
181,Johnny,Knoxville
182,Alan,Arkin
183,Peter,Dinklage
184,Joseph,Cotton
185,Kirk,Douglas
186,Ann,Margret
187,Bette,Midler
188,Helen,Hunt
189,Colin,Firth
190,Nathan,Lane
191,Janeane,Garofalo
192,Drew,Barrymore
193,Ron,Perlman
194,Fred,Ward
195,Robert,Hays
196,Ben,Stiller
197,Steve,Coogan
198,Bill,Paxton
199,Samuel,L.
200,Bruce,Willis
201,Julie,Andrews
