id,mid,aid
1,3,4
2,2,2
3,2,3
4,5,5
5,6,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,10,12
12,11,13
13,11,14
14,11,15
15,12,16
16,12,17
17,13,18
18,15,19
19,17,20
20,17,21
21,18,22
22,18,23
23,18,24
24,18,25
25,18,26
26,19,17
27,19,27
28,19,28
29,19,29
30,19,30
31,20,31
32,20,32
33,20,33
34,20,34
35,21,9
36,22,9
37,22,1
38,24,35
39,24,36
40,25,37
41,25,38
42,26,13
43,26,39
44,27,40
45,27,41
46,27,42
47,27,43
48,27,44
49,28,45
50,28,46
51,28,47
52,28,48
53,28,49
54,28,50
55,29,51
56,29,52
57,29,53
58,29,39
59,31,54
60,31,55
61,33,11
62,33,56
63,33,57
64,34,58
65,34,59
66,35,60
67,36,61
68,36,62
69,37,63
70,37,37
71,38,64
72,38,51
73,39,23
74,39,56
75,39,65
76,39,61
77,40,35
78,41,48
79,41,66
80,42,67
81,43,68
82,44,69
83,46,67
84,48,50
85,48,70
86,50,71
87,50,72
88,50,73
89,50,74
90,51,75
91,51,76
92,51,77
93,51,78
94,51,79
95,53,51
96,53,80
97,53,81
98,55,82
99,57,83
100,57,84
101,58,11
102,58,12
103,58,85
104,58,86
105,58,87
106,59,88
107,59,89
108,59,90
109,61,91
110,62,92
111,62,93
112,63,45
113,64,94
114,64,95
115,64,96
116,65,97
117,67,92
118,69,48
119,70,98
120,71,35
121,71,99
122,72,100
123,72,101
124,73,102
125,74,103
126,74,104
127,75,85
128,78,105
129,78,106
130,78,48
131,79,27
132,81,49
133,81,107
134,81,108
135,81,109
136,81,110
137,82,111
138,83,112
139,83,113
140,83,114
141,83,115
142,84,116
143,84,64
144,86,64
145,86,117
146,86,118
147,86,119
148,87,61
149,88,19
150,88,78
151,89,112
152,91,120
153,92,20
154,92,121
155,93,122
156,93,68
157,93,123
158,94,122
159,94,68
160,94,124
161,95,45
162,95,105
163,95,125
164,88,125
165,88,126
166,88,105
