mid,title,year,grade
1,A Face in the Crowd,1957,9
2,A Perfect Couple,1979,6
3,A Touch of Evil,1958,9
4,Across the Universe,2007,6
5,Amadeus,1983,9
6,An American Tail: Fievel Goes West,1991,10
7,Animal House,1978,6
8,Apollo 13,1995,7
9,Atlantis,2001,5
10,Back to the Future,1985,7
11,Benny and Joon,1993,9
12,Big Bad Love,2001,10
13,Big Fish,2003,10
14,Blame it on Fidel,2006,7
15,Brain Donors,1992,8
16,Bolt,2008,4
17,Bottle Shock,2008,5
18,Canadian Bacon,1995,4
19,Cannery Row,1982,10
20,Cars,2006,8
21,Cast Away,2000,7
22,Catch Me if you Can,2002,8
23,Cautiva,1986,10
24,Chain of Fools,2000,8
25,Chicago,2002,7
26,Chocolat,2000,8
27,Cocoon,1985,7
28,Con Air,1997,7
29,Dan in Real Life,2007,8
30,Danny Deckchair,2003,6
31,Dante's Peak,1997,7
32,Death at a Funeral,2007,6
33,Don't Drink the Water,1994,7
34,Dressed to Kill,1980,5
35,Duel,1971,7
36,Duplicity,2009,3
37,Entrapment,1999,2
38,Evan Almighty,2007,3
39,Everyone Says I Love You,1996,4
40,Everything is Illuminated,2005,9
41,Fargo,1996,10
42,Fletch,1985,6
43,For Roseanna,1997,6
44,For the Love of the Game,1999,3
45,Frost/Nixon,2008,9
46,Funny Farm,1988,6
47,Goal! The Dram Begins,2006,6
48,Grand Hotel,1932,10
49,Grosse Pointe Blank,1997,7
50,High Anxiety,1977,6
51,Holes,2003,10
52,Home Alone,1990,7
53,Horton Hears a Who,2008,9
54,Hotel Rwanda,2004,7
55,How About You …,2007,7
56,I Want Candy,2007,1
57,I'll Be There,2003,6
58,Interstate 60: Episodes of the Road,2002,7
59,Iron Man,2008,4
60,Jesus of Montreal,1989,7
61,Julian Po,1997,8
62,Kindergarten Cop,1990,6
63,Knowing,2008,4
64,Kung Fu Panda,2008,7
65,Land of the Lost,2009,3
66,Lars and the Real Girl,2007,6
67,Last Action Hero,1993,5
68,Lifeboat,1944,9
69,Living in Oblivion,1995,7
70,Local Hero,1983,8
71,Lord of the Rings: the Fellowship of the Ring,2001,4
72,M*A*S*H,1970,8
73,The Mating Habits of the Earthbound Human,1999,7
74,Meet Joe Black,1998,5
75,Miracle,2004,8
76,Miracle at St. Anna,2008,7
77,Monster House,2006,5
78,Monsters Inc.,2001,8
79,Mother Night,1996,8
80,Munich,2005,10
81,"Mystery, Alaska",1999,8
82,Noise,2007,6
83,North by Northwest,1959,9
84,Nurse Betty,2000,6
85,2001: A Space Odyssey,1968,8
86,2010: The Year We Make Contact,1984,7
87,Mystic Pizza,1988,7
88,"O Brother, Where Are Thou",2000,10
89,Odd Man Out,1947,8
90,Open City,2008,8
91,Penelope,1996,6
92,Phoebe in Wonderland,2008,7
93,The Pink Panther,2006,6
94,The Pink Panther 2,2009,4
95,Raising Arizona,1987,8
96,Radio,2003,5
97,Rat Race,2001,7
98,Ratatouille,2007,8
99,Red Dawn,1984,5
100,Renaissance Man,1994,8
101,Romance & Cigarettes,2005,1
102,Rope,1948,10
103,The Running Man,1987,6
104,Saving Grace,2000,7
105,Seducing Doctor Lewis,2003,8
106,Sex and Breakfast,2007,1
107,Sherrybaby,2006,7
108,Shining Through,1992,6
109,Star Trek,2009,8
110,Sweet and Lowdown,1999,8
111,Sweet Home Alabama,2002,3
112,Sweet Land,2005,8
113,Swing Vote,2008,5
114,The Terminator,1984,6
115,Terminator 2: Judgment Day,1991,6
116,The 39 Steps,1935,8
117,The Air I Breathe,2007,6
118,The Aviator,2004,5
119,The Big Lebowski,1998,6
120,The Brothers Grimm,2005,6
121,The Cats of Mirikitani,2006,8
122,The Dark Knight,2008,6
123,The Day After Tomorrow,2004,1
124,The Dish,2000,6
125,The Diving Bell and the Butterfly,2007,9
126,The Edge,1997,7
127,The Freshman,1990,6
128,The Fugitive,1993,10
129,The General's Daughter,1999,9
130,The Great Debaters,2007,10
131,The Great Escape,1963,8
132,The Green Mile,1999,7
133,The Hudsucker Proxie,1994,8
134,The Illusionist,2006,10
135,The Interpreter,2005,5
136,The Karate Kid,1984,7
137,The King of Hearts,1966,7
138,The Last Temptation of Christ,1998,7
139,The Last Word,2017,6
140,The Lives of Others,2006,9
141,The Mummy,1999,7
142,The Nightmare Before Christmas,1993,8
143,The Patriot,2000,8
144,The Prestige,2006,6
145,The Princess Bride,1987,8
146,The Right Stuff,1983,7
147,The Ringer,2005,6
148,The Rock,1996,8
149,"The Russians are Coming, the Russians are Coming",1966,6
150,The Shape of Things,2003,6
151,The Station Agent,2003,8
152,The Third Man,1949,10
153,The Wishing Tree,2012,5
154,The Villain,  ,5
155,The Visitor,2007,6
156,Then She Found Me,2007,3
157,Throw Momma From the Train,1987,6
158,Titan A.E.,2000,7
159,Tremors,1993,1
160,Tropic Thunder,2008,4
161,Twister,1996,6
162,Unbreakable,2000,8
163,Victor/Victoria,1992,9
164,Lord of the Rings: The Twin Towers,2002,5
165,Visioneers,2008,7
166,Volver,2006,9
167,War Games,1983,8
168,What Women Want,2006,6
169,YPF,2007,4
170,Zathura: A Space Adventure,2005,7
171,Zero Effect,1988,6
172,Twenty Bucks,1993,7
173,My Cousin Vinny,1992,7
174,Tomorrow Never Dies,1997,7
175,Licence to Kill,1989,6
176,The World is Not Enough,1999,7
177,Die Another Day,2002,7
178,Casino Royal,1967,4
179,Careless,2007,7
180,Galaxy Quest,1999,7
181,The Man Who Wasn't There,2001,8
182,The Impostors,1998,8
183,Men In Black,1997,7
184,Harry Potter and the Sorcerer's Stone,2001,5
185,Harry Potter and the Chamber of Secrets,2002,3
186,Harry Potter and the Prisoner of Azkaban,2004,3
187,Harry Potter and the Goblet of Fire,2005,3
188,The Bourne Identity,2002,7
189,Ghost World,2001,7
190,Lost in Translation,2003,6
191,The Saddest Music in the World,2003,8
192,Phenomenon,1996,7
193,Young Frankenstein,1974,10
194,State and Main,2000,5
195,The Majestic,2001,8
196,The Truman Show,1998,9
197,Into the West,1992,8
198,Smilla's Sense of Snow,1997,6
199,Silent Movie,1976,6
200,Once Upon a Time in the West,1968,10
201,Sleepy Hollow,1999,7
202,Blow Dry,2001,7
203,A Foreign Field,1993,7
204,Capote,2005,9
205,They All Laughed,1981,8
206,The Thomas Crown Affair,1999,7
207,The Thomas Crown Affair,1968,9
208,Air Force One,1997,7
209,What the #$*! Do We Know?!,2004,1
210,Lord of the Rings: The Return of the King,2001,4
211,King Kong,2005,6
212,King Kong,1933,8
213,First Blood,1982,3
214,Alien,1986,6
215,The Abyss,1989,5
216,I Love You to Death,1990,7
217,True Lies,1994,5
218,Titanic,1997,3
219,Batman,1989,5
220,Beetle Juice,1988,8
221,Rocky,1975,7
222,Ed Wood,1994,9
223,Mars Attacks!,1996,6
224,Dinosaur,2000,4
225,Ice Age,2002,7
226,The Polar Express,2004,5
227,Robots,2005,3
228,Chicken Little,2005,3
229,9,2009,5
230,National Treasure,2004,7
231,Guarding Tess,1994,4
232,Being There,1979,9
233,The Man from Snowy River,1982,8
234,Legends of the Fall,1994,7
235,Harry and the Hendersons,1987,6
236,Braveheart,1991,6
237,Master and Commander,2003,3
238,The Mask of Zorro,1998,6
239,Conan the Barbarian,1982,4
240,The Secret of Roan Inish,1994,8
241,Spaceballs,1987,5
242,Yentl,1983,3
243,Who Framed Roger Rabbit,1988,6
244,The Greatest Lover in the World,1977,4
245,Addam's Family Values,1993,7
246,Manhattan Murder Mystery,1993,7
247,Mad Money,2008,4
248,Ben-Hur,1959,6
249,Around the World in 80 Days,2004,5
250,Around the World in 80 Days,1950,5
251,"It's a Mad, Mad, Mad, Mad World",1963,5
